																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	486	64	nW	nŵ	nŵ	labialized voiced alveolar nasal	labzd vd alveolar nasal					2	FALSE	FALSE	006E0175			labzd						vd	alveolar				nasal	
	487	637	n	n	n	voiced alveolar nasal	vd alveolar nasal		4	127	1112	202	FALSE	FALSE	006E									vd	alveolar				nasal	
	488	642	n*	n·	n·	creaky-voiced voiced alveolar nasal	creaky vd alveolar nasal					4	FALSE	FALSE	006E0387							creaky		vd	alveolar				nasal	
	489	643	n-	nĝ	nĝ	velarized voiced alveolar nasal	velzd vd alveolar nasal					1	FALSE	FALSE	006E011D				velzd					vd	alveolar				nasal	
	490	649	n:	n►	n►	long voiced alveolar nasal	long vd alveolar nasal					2	FALSE	FALSE	006E25BA					long				vd	alveolar				nasal	
	491	654	nJ!	nĵ	nĵ	palatalized voiced alveolar nasal	palzd vd alveolar nasal					4	FALSE	FALSE	006E0135				palzd					vd	alveolar				nasal	
	492	931		?n	?n	preglottalized voiced alveolar nasal	pglot vd alveolar nasal						FALSE	FALSE	003F006E								pglot	vd	alveolar				nasal	
	493	982		n'	n'	voiced alveolar ejective nasal	vd alveolar ejective nasal						FALSE	FALSE	006E0027									vd	alveolar		ejective		nasal	
	494	68	nh	n΄	n΄	breathy-voiced alveolar nasal	breathy alveolar nasal					2	FALSE	FALSE	006E0384							breathy			alveolar				nasal	
	495	520	hn_	n°ˉ	n°ˉ	voiceless postalveolar nasal	vl postalveol nasal					2	FALSE	FALSE	006E00B002C9									vl	postalveol				nasal	
	496	657	n_	nˉ	nˉ	voiced postalveolar nasal	vd postalveol nasal		4	129	1114	45	FALSE	FALSE	006E02C9									vd	postalveol				nasal	
	497	658	n_h	nˉ΄	nˉ΄	breathy-voiced postalveolar nasal	breathy postalveol nasal					1	FALSE	FALSE	006E02C90384							breathy			postalveol				nasal	
	498	511	hn.	ń°	ń°	voiceless retroflex nasal	vl retro nasal		4	130	1115	1	FALSE	FALSE	014400B0									vl	retro				nasal	
	499	644	n.	ń	ń	voiced retroflex nasal	vd retro nasal		4	131	1116	24	FALSE	FALSE	0144									vd	retro				nasal	
	500	521	hnj	Ņ°	Ņ°	voiceless palatal nasal	vl palatal nasal		4	132	1117	8	FALSE	FALSE	014500B0									vl	palatal				nasal	
	501	673	nj	Ņ	Ņ	voiced palatal nasal	vd palatal nasal		4	133	1118	141	FALSE	FALSE	0145									vd	palatal				nasal	
	502	674	nj*	Ņ·	Ņ·	creaky-voiced voiced palatal nasal	creaky vd palatal nasal					3	FALSE	FALSE	01450387							creaky		vd	palatal				nasal	
	503	675	nj:	Ņ►	Ņ►	long voiced palatal nasal	long vd palatal nasal					1	FALSE	FALSE	014525BA					long				vd	palatal				nasal	
	504	676	njW	Ņŵ	Ņŵ	labialized voiced palatal nasal	labzd vd palatal nasal					1	FALSE	FALSE	01450175			labzd						vd	palatal				nasal	
	505	925		?Ņ	?Ņ	preglottalized voiced palatal nasal	pglot vd palatal nasal						FALSE	FALSE	003F0145								pglot	vd	palatal				nasal	
	506	479	hN!	ŋ°	ŋ°	voiceless velar nasal	vl velar nasal		4	134	1119	9	FALSE	FALSE	014B00B0									vl	velar				nasal	
	507	480	hN!J	ŋ°ĵ	ŋ°ĵ	palatalized voiceless velar nasal	palzd vl velar nasal					1	FALSE	FALSE	014B00B00135				palzd					vl	velar				nasal	
	508	481	hNW	ŋ°ŵ	ŋ°ŵ	labialized voiceless velar nasal	labzd vl velar nasal					2	FALSE	FALSE	014B00B00175			labzd						vl	velar				nasal	
	509	223	N!*	ŋ·	ŋ·	creaky-voiced voiced velar nasal	creaky vd velar nasal					3	FALSE	FALSE	014B0387							creaky		vd	velar				nasal	
	510	224	N!1	ŋ	ŋ	voiced velar nasal	vd velar nasal		4	135	1120	238	FALSE	FALSE	014B									vd	velar				nasal	
	511	225	N!J	ŋĵ	ŋĵ	palatalized voiced velar nasal	palzd vd velar nasal					4	FALSE	FALSE	014B0135				palzd					vd	velar				nasal	
	512	226	N9	ŋſ	ŋſ	pharyngealized voiced velar nasal	pharzd vd velar nasal					1	FALSE	FALSE	014B017F				pharzd					vd	velar				nasal	
	513	227	NW	ŋŵ	ŋŵ	labialized voiced velar nasal	labzd vd velar nasal					17	FALSE	FALSE	014B0175			labzd						vd	velar				nasal	
	514	932		?ŋ	?ŋ	preglottalized voiced velar nasal	pglot vd velar nasal						FALSE	FALSE	003F014B								pglot	vd	velar				nasal	
	515	946		ŋ►	ŋ►	long voiced velar nasal	long vd velar nasal						FALSE	FALSE	014B25BA					long				vd	velar				nasal	
	516	983		ŋ'	ŋ'	voiced velar ejective nasal	vd velar ejective nasal						FALSE	FALSE	014B0027									vd	velar		ejective		nasal	
	517	984		ŋŵ'	ŋŵ'	labialized voiced velar ejective nasal	labzd vd velar ejective nasal						FALSE	FALSE	014B01750027			labzd						vd	velar		ejective		nasal	
	518	230	Nh	ŋ΄	ŋ΄	breathy-voiced velar nasal	breathy velar nasal					1	FALSE	FALSE	014B0384							breathy			velar				nasal	
	519	655	nU	Ж	Ж	voiced uvular nasal	vd uvular nasal		4	137	1124	1	FALSE	FALSE	0416									vd	uvular				nasal	
	520	769	rD	r·	r·	voiced dental trill	vd dental trill		4	44	0410	9	FALSE	FALSE	007200B7									vd	dental			trill		
	521	770	rDJ	r·ĵ	r·ĵ	palatalized voiced dental trill	palzd vd dental trill					1	FALSE	FALSE	007200B70135				palzd					vd	dental			trill		
	522	526	hr	r°	r°	voiceless alveolar trill	vl alveolar trill					2	FALSE	FALSE	007200B0									vl	alveolar			trill		
	523	91	r*	r·	r·	creaky-voiced voiced alveolar trill	creaky vd alveolar trill					1	FALSE	FALSE	00720387							creaky		vd	alveolar			trill		
	524	92	r-	rĝ	rĝ	velarized voiced alveolar trill	velzd vd alveolar trill					1	FALSE	FALSE	0072011D				velzd					vd	alveolar			trill		
	525	93	r9	rſ	rſ	pharyngealized voiced alveolar trill	pharzd vd alveolar trill					1	FALSE	FALSE	0072017F				pharzd					vd	alveolar			trill		
	526	95	rF	r»	r»	voiced alveolar fricative trill	vd alveolar fricative trill					1	FALSE	FALSE	007200BB									vd	alveolar			trill	fricative	
	527	677	nr	nr	nr	prenasalized voiced alveolar trill	prenazad vd alveolar trill					1	FALSE	FALSE	006E0072								prenazad	vd	alveolar			trill		
	528	763	r	r	r	voiced alveolar trill	vd alveolar trill		4	45	0412	95	FALSE	FALSE	0072									vd	alveolar			trill		
	529	774	rJ!	rĵ	rĵ	palatalized voiced alveolar trill	palzd vd alveolar trill					2	FALSE	FALSE	00720135				palzd					vd	alveolar			trill		
	530	933		?r	?r	preglottalized voiced alveolar trill	pglot vd alveolar trill						FALSE	FALSE	003F0072								pglot	vd	alveolar			trill		
	531	988		r'	r'	voiced alveolar ejective trill	vd alveolar ejective trill						FALSE	FALSE	00720027									vd	alveolar		ejective	trill		
	532	989		r►	r►	long voiced alveolar trill	long vd alveolar trill						FALSE	FALSE	007225BA					long				vd	alveolar			trill		
	533	764	r.	r˙	r˙	voiced retroflex trill	vd retro trill		4	46	0416	1	FALSE	FALSE	007202D9									vd	retro			trill		
	534	782	rj	rˉ	rˉ	voiced palatal trill	vd palatal trill					1	FALSE	FALSE	007202C9									vd	palatal			trill		
	535	258	R!	R	R	voiced uvular trill	vd uvular trill		4	47	0424	4	FALSE	FALSE	0052									vd	uvular			trill		
	536	771	rDT	ŗ·	ŗ·	voiced dental tap	vd dental tap		4	48	0510	1	FALSE	FALSE	015700B7									vd	dental				tap	
	537	772	rDT*	ŗ··	ŗ··	creaky-voiced voiced dental tap	creaky vd dental tap					1	FALSE	FALSE	015700B70387							creaky		vd	dental				tap	
	538	775	rT	ŗ	ŗ	voiced alveolar tap	vd alveolar tap		4	49	0512	7	FALSE	FALSE	0157									vd	alveolar				tap	
	539	892	v[	V	V	voiced labiodental flap	vd labdent flap		4	52	0604	1	FALSE	FALSE	0056									vd	labdent				flap	
	540	773	rD[	Ŗ·	Ŗ·	voiced dental flap	vd dental flap		4	53	0610	1	FALSE	FALSE	015600B7									vd	dental				flap	
	541	527	hr[-	Ŗ°ĝ	Ŗ°ĝ	velarized voiceless alveolar flap	velzd vl alveolar flap					1	FALSE	FALSE	015600B0011D				velzd					vl	alveolar				flap	
	542	528	hr[J	Ŗ°ĵ	Ŗ°ĵ	palatalized voiceless alveolar flap	palzd vl alveolar flap					1	FALSE	FALSE	015600B00135				palzd					vl	alveolar				flap	
	543	617	l[	Ř	Ř	voiced alveolar lateral flap	vd alveolar lateral flap					9	FALSE	FALSE	0158									vd	alveolar			lateral	flap	
	544	618	l[J	Řĵ	Řĵ	palatalized voiced alveolar lateral flap	palzd vd alveolar lateral flap					1	FALSE	FALSE	01580135				palzd					vd	alveolar			lateral	flap	
	545	776	r[	Ŗ	Ŗ	voiced alveolar flap	vd alveolar flap		4	54	0612	91	FALSE	FALSE	0156									vd	alveolar				flap	
	546	777	r[*	Ŗ'	Ŗ'	voiced alveolar ejective flap	vd alveolar ejective flap					1	FALSE	FALSE	01560027									vd	alveolar		ejective		flap	
	547	778	r[-	Ŗĝ	Ŗĝ	velarized voiced alveolar flap	velzd vd alveolar flap					1	FALSE	FALSE	0156011D				velzd					vd	alveolar				flap	
	548	779	r[F	Ŗ»	Ŗ»	voiced alveolar fricative flap	vd alveolar fricative flap					1	FALSE	FALSE	015600BB									vd	alveolar				flap	
	549	780	r[J	Ŗĵ	Ŗĵ	palatalized voiced alveolar flap	palzd vd alveolar flap					1	FALSE	FALSE	01560135				palzd					vd	alveolar				flap	
	550	781	r_[	Ŗˉ	Ŗˉ	voiced postalveolar flap	vd postalveol flap		4	55	0614	1	FALSE	FALSE	015602C9									vd	postalveol				flap	
	551	605	l.[	Ř˙	Ř˙	voiced retroflex lateral flap	vd retro lateral flap					8	FALSE	FALSE	015802D9									vd	retro			lateral	flap	
	552	606	l.[*	Ř˙·	Ř˙·	creaky-voiced voiced retroflex lateral flap	creaky vd retro lateral flap					1	FALSE	FALSE	015802D90387							creaky		vd	retro			lateral	flap	
	553	766	r.[	Ŗ°	Ŗ°	voiced retroflex flap	vd retro flap					14	FALSE	FALSE	015600B0									vd	retro				flap	
	554	767	r.[~	Ŗ°†	Ŗ°†	nasalized voiced retroflex flap	naszd vd retro flap					1	FALSE	FALSE	015600B02020			naszd						vd	retro				flap	
	555	784	rrD	r·r·	r·r·	voiced dental r-sound	vd dental rsound					1	FALSE	FALSE	007200B7007200B7									vd	dental				rsound	
	556	50	hrr	r°r	r°r	voiceless alveolar r-sound	vl alveolar rsound					1	FALSE	FALSE	007200B00072									vl	alveolar				rsound	
	557	100	rr*	r·r	r·r	creaky-voiced voiced alveolar r-sound	creaky vd alveolar rsound					3	FALSE	FALSE	007203870072							creaky		vd	alveolar				rsound	
	558	783	rr	rr	rr	voiced alveolar r-sound	vd alveolar rsound					10	FALSE	FALSE	00720072									vd	alveolar				rsound	
	559	785	rrJ	rrĵ	rrĵ	palatalized voiced alveolar r-sound	palzd vd alveolar rsound					1	FALSE	FALSE	007200720135				palzd					vd	alveolar				rsound	
	560	252	P!	F	F	voiceless bilabial fricative	vl bilabial fricative		4	57	0701	39	FALSE	FALSE	0046									vl	bilabial				fricative	
	561	253	P!'	F'	F'	voiceless bilabial ejective fricative	vl bilabial ejective fricative					1	FALSE	FALSE	00460027									vl	bilabial		ejective		fricative	
	562	254	P!J	Fĵ	Fĵ	palatalized voiceless bilabial fricative	palzd vl bilabial fricative					2	FALSE	FALSE	00460135				palzd					vl	bilabial				fricative	
	563	255	P!W	Fŵ	Fŵ	labialized voiceless bilabial fricative	labzd vl bilabial fricative					1	FALSE	FALSE	00460175			labzd						vl	bilabial				fricative	
	564	257	PW-	Fĝŵ	Fĝŵ	labialized velarized voiceless bilabial fricative	labzd velzd vl bilabial fricative					1	FALSE	FALSE	0046011D0175			labzd	velzd					vl	bilabial				fricative	
	565	186	B!	β	β	voiced bilabial fricative	vd bilabial fricative		4	58	0702	54	FALSE	FALSE	03B2									vd	bilabial				fricative	
	566	187	B!J	βĵ	βĵ	palatalized voiced bilabial fricative	palzd vd bilabial fricative					1	FALSE	FALSE	03B20135				palzd					vd	bilabial				fricative	
	567	434	f	f	f	voiceless labiodental fricative	vl labdent fricative		4	59	0703	180	FALSE	FALSE	0066									vl	labdent				fricative	
	568	435	f'	f'	f'	voiceless labiodental ejective fricative	vl labdent ejective fricative					1	FALSE	FALSE	00660027									vl	labdent		ejective		fricative	
	569	436	f:	f►	f►	long voiceless labiodental fricative	long vl labdent fricative					1	FALSE	FALSE	006625BA					long				vl	labdent				fricative	
	570	437	fJ	fĵ	fĵ	palatalized voiceless labiodental fricative	palzd vl labdent fricative					3	FALSE	FALSE	00660135				palzd					vl	labdent				fricative	
	571	438	fW	fŵ	fŵ	labialized voiceless labiodental fricative	labzd vl labdent fricative					1	FALSE	FALSE	00660175			labzd						vl	labdent				fricative	
	572	636	mv	Mv	Mv	prenasalized voiced labiodental fricative	prenazad vd labdent fricative					4	FALSE	FALSE	004D0076								prenazad	vd	labdent				fricative	
	573	888	v	v	v	voiced labiodental fricative	vd labdent fricative		4	60	0704	95	FALSE	FALSE	0076									vd	labdent				fricative	
	574	890	vJ	vĵ	vĵ	palatalized voiced labiodental fricative	palzd vd labdent fricative					5	FALSE	FALSE	00760135				palzd					vd	labdent				fricative	
	575	891	vW	vŵ	vŵ	labialized voiced labiodental fricative	labzd vd labdent fricative					1	FALSE	FALSE	00760175			labzd						vd	labdent				fricative	
	576	893	vh	v΄	v΄	breathy-voiced labiodental fricative	breathy labdent fricative					2	FALSE	FALSE	00760384							breathy			labdent				fricative	
	577	793	sD	s·	s·	voiceless dental sibilant fricative	vl dental sib fricative		4	61	0709	42	FALSE	FALSE	007300B7									vl	dental	sib			fricative	
	578	794	sD'	s·'	s·'	voiceless dental sibilant ejective fricative	vl dental sib ejective fricative					1	FALSE	FALSE	007300B70027									vl	dental	sib	ejective		fricative	
	579	795	sD*	s··	s··	creaky-voiced voiceless dental sibilant fricative	creaky vl dental sib fricative					1	FALSE	FALSE	007300B70387							creaky		vl	dental	sib			fricative	
	580	796	sD9	s·ſ	s·ſ	pharyngealized voiceless dental sibilant fricative	pharzd vl dental sib fricative					1	FALSE	FALSE	007300B7017F				pharzd					vl	dental	sib			fricative	
	581	797	sDJ	s·ĵ	s·ĵ	palatalized voiceless dental sibilant fricative	palzd vl dental sib fricative					2	FALSE	FALSE	007300B70135				palzd					vl	dental	sib			fricative	
	582	153	0D	Ǿ·	Ǿ·	voiceless dental fricative	vl dental fricative		4	82	0809	18	FALSE	FALSE	01FE00B7									vl	dental				fricative	
	583	990		Ǿ·'	Ǿ·'	voiceless dental ejective fricative	vl dental ejective fricative						FALSE	FALSE	01FE00B70027									vl	dental		ejective		fricative	
	584	690	nzD	n·Z·	n·Z·	prenasalized voiced dental sibilant fricative	prenazad vd dental sib fricative					1	FALSE	FALSE	006E00B7005A00B7								prenazad	vd	dental	sib			fricative	
	585	913	zD	Z·	Z·	voiced dental sibilant fricative	vd dental sib fricative		4	62	0710	17	FALSE	FALSE	005A00B7									vd	dental	sib			fricative	
	586	914	zD9	Z·ſ	Z·ſ	pharyngealized voiced dental sibilant fricative	pharzd vd dental sib fricative					2	FALSE	FALSE	005A00B7017F				pharzd					vd	dental	sib			fricative	
	587	915	zDJ	Z·ĵ	Z·ĵ	palatalized voiced sibilant dental fricative	palzd vd sib dental fricative					2	FALSE	FALSE	005A00B70135				palzd					vd	dental	sib			fricative	
	588	168	6D	ď·	ď·	voiced dental fricative	vd dental fricative		4	83	0810	22	FALSE	FALSE	010F00B7									vd	dental				fricative	
	589	169	6DJ	ď·ĵ	ď·ĵ	palatalized voiced dental fricative	palzd vd dental fricative					1	FALSE	FALSE	010F00B70135				palzd					vd	dental				fricative	
	590	956		ď·'	ď·'	voiced dental ejective fricative	vd dental ejective fricative						FALSE	FALSE	010F00B70027									vd	dental		ejective		fricative	
	591	51	hs	ĥs	ĥs	voiceless preaspirated alveolar sibilant fricative	vl preasp alveolar sib fricative					1	FALSE	FALSE	01250073								preasp	vl	alveolar	sib			fricative	
	592	69	ns	ns	ns	prenasalized voiceless alveolar sibilant fricative	prenazad vl alveolar sib fricative					1	FALSE	FALSE	006E0073								prenazad	vl	alveolar	sib			fricative	
	593	106	sW	sŵ	sŵ	labialized voiceless alveolar sibilant fricative	labzd vl alveolar sib fricative					3	FALSE	FALSE	00730175			labzd						vl	alveolar	sib			fricative	
	594	107	sW:	sŵ►	sŵ►	long labialized voiceless alveolar sibilant fricative	long labzd vl alveolar sib fricative					1	FALSE	FALSE	0073017525BA			labzd		long				vl	alveolar	sib			fricative	
	595	108	sh	sĥ	sĥ	voiceless aspirated alveolar sibilant fricative	vl aspirate alveolar sib fricative					3	FALSE	FALSE	00730125							aspirate		vl	alveolar	sib			fricative	
	596	786	s	s	s	voiceless alveolar sibilant fricative	vl alveolar sib fricative		4	63	0711	196	FALSE	FALSE	0073									vl	alveolar	sib			fricative	
	597	787	s'	s'	s'	voiceless alveolar sibilant ejective fricative	vl alveolar sib ejective fricative					1	FALSE	FALSE	00730027									vl	alveolar	sib	ejective		fricative	
	598	788	s*	s·	s·	creaky-voiced voiceless alveolar sibilant fricative	creaky vl alveolar sib fricative					3	FALSE	FALSE	00730387							creaky		vl	alveolar	sib			fricative	
	599	791	s9	sſ	sſ	pharyngealized voiceless alveolar sibilant fricative	pharzd vl alveolar sib fricative					1	FALSE	FALSE	0073017F				pharzd					vl	alveolar	sib			fricative	
	600	792	s:	s►	s►	long voiceless alveolar sibilant fricative	long vl alveolar sib fricative					1	FALSE	FALSE	007325BA					long				vl	alveolar	sib			fricative	
	601	798	sJ	sĵ	sĵ	palatalized voiceless alveolar sibilant fricative	palzd vl alveolar sib fricative					2	FALSE	FALSE	00730135				palzd					vl	alveolar	sib			fricative	
	602	141	z9	Zſ	Zſ	pharyngealized voiced alveolar sibilant fricative	pharzd vd alveolar sib fricative					1	FALSE	FALSE	005A017F				pharzd					vd	alveolar	sib			fricative	
	603	142	zJ	Zĵ	Zĵ	palatalized voiced alveolar sibilant fricative	palzd vd alveolar sib fricative					1	FALSE	FALSE	005A0135				palzd					vd	alveolar	sib			fricative	
	604	143	zW	Zŵ	Zŵ	labialized voiced alveolar sibilant fricative	labzd vd alveolar sib fricative					1	FALSE	FALSE	005A0175			labzd						vd	alveolar	sib			fricative	
	605	689	nz	nZ	nZ	prenasalized voiced alveolar sibilant fricative	prenazad vd alveolar sib fricative					1	FALSE	FALSE	006E005A								prenazad	vd	alveolar	sib			fricative	
	606	909	z	Z	Z	voiced alveolar sibilant fricative	vd alveolar sib fricative		4	64	0712	62	FALSE	FALSE	005A									vd	alveolar	sib			fricative	
	607	1000		Z'	Z'	voiced alveolar sibilant ejective fricative	vd alveolar sib ejective fricative						FALSE	FALSE	005A0027									vd	alveolar	sib	ejective		fricative	
	608	166	6	ď	ď	voiced alveolar fricative	vd alveolar fricative		4	85	0812	1	FALSE	FALSE	010F									vd	alveolar				fricative	
	609	266	S!	∫	∫	voiceless postalveolar sibilant fricative	vl postalveol sib fricative		4	65	0713	187	FALSE	FALSE	222B									vl	postalveol	sib			fricative	
	610	267	S!'	∫'	∫'	voiceless postalveolar sibilant ejective fricative	vl postalveol sib ejective fricative					4	FALSE	FALSE	222B0027									vl	postalveol	sib	ejective		fricative	
	611	268	S!:	∫►	∫►	long voiceless postalveolar sibilant fricative	long vl postalveol sib fricative					3	FALSE	FALSE	222B25BA					long				vl	postalveol	sib			fricative	
	612	269	S!J	∫ĵ	∫ĵ	palatalized voiceless postalveolar sibilant fricative	palzd vl postalveol sib fricative					3	FALSE	FALSE	222B0135				palzd					vl	postalveol	sib			fricative	
	613	270	S-	∫ĝ	∫ĝ	velarized voiceless postalveolar sibilant fricative	velzd vl postalveol sib fricative					1	FALSE	FALSE	222B011D				velzd					vl	postalveol	sib			fricative	
	614	271	SW	∫ŵ	∫ŵ	labialized voiceless postalveolar sibilant fricative	labzd vl postalveol sib fricative					3	FALSE	FALSE	222B0175			labzd						vl	postalveol	sib			fricative	
	615	272	SW:	∫ŵ►	∫ŵ►	long labialized voiceless postalveolar sibilant fricative	long labzd vl postalveol sib fricative					2	FALSE	FALSE	222B017525BA			labzd		long				vl	postalveol	sib			fricative	
	616	483	hS	ĥ∫	ĥ∫	voiceless preaspirated postalveolar sibilant fricative	vl preasp postalveol sib fricative					1	FALSE	FALSE	0125222B								preasp	vl	postalveol	sib			fricative	
	617	154	0_	Ǿˉ	Ǿˉ	voiceless postalveolar fricative	vl postalveol fricative		4	86	0813	1	FALSE	FALSE	01FE02C9									vl	postalveol				fricative	
	618	170	6_	ďˉ	ďˉ	voiced postalveolar fricative	vd postalveol fricative		4	87	0814	1	FALSE	FALSE	010F02C9									vd	postalveol				fricative	
	619	293	Z!	z	z	voiced postalveolar sibilant fricative	vd postalveol sib fricative		4	66	0714	61	FALSE	FALSE	007A									vd	postalveol	sib			fricative	
	620	294	Z-	zĝ	zĝ	velarized voiced postalveolar sibilant fricative	velzd vd postalveol sib fricative					1	FALSE	FALSE	007A011D				velzd					vd	postalveol	sib			fricative	
	621	295	ZJ	zĵ	zĵ	palatalized voiced postalveolar sibilant fricative	palzd vd postalveol sib fricative					1	FALSE	FALSE	007A0135				palzd					vd	postalveol	sib			fricative	
	622	296	ZW	zŵ	zŵ	labialized voiced postalveolar sibilant fricative	labzd vd postalveol sib fricative					1	FALSE	FALSE	007A0175			labzd						vd	postalveol	sib			fricative	
	623	656	nZ!	nz	nz	prenasalized voiced postalveolar sibilant fricative	prenazad vd postalveol sib fricative					3	FALSE	FALSE	006E007A								prenazad	vd	postalveol	sib			fricative	
	624	1001		z'	z'	voiced postalveolar sibilant ejective fricative	vd postalveol sib ejective fricative						FALSE	FALSE	007A0027									vd	postalveol	sib	ejective		fricative	
	625	297	Zh	z΄	z΄	breathy-voiced postalveolar sibilant fricative	breathy postalveol sib fricative					1	FALSE	FALSE	007A0384							breathy			postalveol	sib			fricative	
	626	789	s.	S	S	voiceless retroflex sibilant fricative	vl retro sib fricative		4	67	0715	23	FALSE	FALSE	0053									vl	retro	sib			fricative	
	627	790	s.'	S'	S'	voiceless retroflex sibilant ejective fricative	vl retro sib ejective fricative					1	FALSE	FALSE	00530027									vl	retro	sib	ejective		fricative	
	628	152	0.	Ǿ˙	Ǿ˙	voiceless retroflex fricative	vl retro fricative		4	88	0815	1	FALSE	FALSE	01FE02D9									vl	retro				fricative	
	629	911	z.	ź	ź	voiced retroflex sibilant fricative	vd retro sib fricative		4	68	0716	9	FALSE	FALSE	017A									vd	retro	sib			fricative	
	630	912	z.*	ź·	ź·	creaky-voiced voiced retroflex sibilant fricative	creaky vd retro sib fricative					1	FALSE	FALSE	017A0387							creaky		vd	retro	sib			fricative	
	631	167	6.	ď˙	ď˙	voiced retroflex fricative	vd retro fricative		4	89	0816	4	FALSE	FALSE	010F02D9									vd	retro				fricative	
	632	193	C,	Ć	Ć	voiceless palatal sibilant fricative	vl palatal sib fricative		4	69	0717	9	FALSE	FALSE	0106									vl	palatal	sib			fricative	
	633	194	C,'	Ć'	Ć'	voiceless palatal sibilant ejective fricative	vl palatal sib ejective fricative					1	FALSE	FALSE	01060027									vl	palatal	sib	ejective		fricative	
	634	192	C!	ç	ç	voiceless palatal fricative	vl palatal fricative		4	90	0817	11	FALSE	FALSE	00E7									vl	palatal				fricative	
	635	195	CW	çŵ	çŵ	labialized voiceless palatal fricative	labzd vl palatal fricative					1	FALSE	FALSE	00E70175			labzd						vl	palatal				fricative	
	636	910	z,	Ź	Ź	voiced palatal sibilant fricative	vd palatal sib fricative		4	70	0718	7	FALSE	FALSE	0179									vd	palatal	sib			fricative	
	637	572	jF	Ĵ	Ĵ	voiced palatal fricative	vd palatal fricative		4	91	0818	12	FALSE	FALSE	0134									vd	palatal				fricative	
	638	898	x	x	x	voiceless velar fricative	vl velar fricative		4	71	0719	94	FALSE	FALSE	0078									vl	velar				fricative	
	639	899	x'	x'	x'	voiceless velar ejective fricative	vl velar ejective fricative					2	FALSE	FALSE	00780027									vl	velar		ejective		fricative	
	640	900	x:	x►	x►	long voiceless velar fricative	long vl velar fricative					4	FALSE	FALSE	007825BA					long				vl	velar				fricative	
	641	901	xJ	xĵ	xĵ	palatalized voiceless velar fricative	palzd vl velar fricative					1	FALSE	FALSE	00780135				palzd					vl	velar				fricative	
	642	902	xW	xŵ	xŵ	labialized voiceless velar fricative	labzd vl velar fricative					25	FALSE	FALSE	00780175			labzd						vl	velar				fricative	
	643	903	xW'	xŵ'	xŵ'	labialized voiceless velar ejective fricative	labzd vl velar ejective fricative					1	FALSE	FALSE	007801750027			labzd						vl	velar		ejective		fricative	
	644	904	xW:	xŵ►	xŵ►	long labialized voiceless velar fricative	long labzd vl velar fricative					1	FALSE	FALSE	0078017525BA			labzd		long				vl	velar				fricative	
	645	998		xĵŵ	xĵŵ	palatalized labialized voiceless velar fricative	palzd labzd vl velar fricative						FALSE	FALSE	007801350175			labzd	palzd					vl	velar				fricative	
	646	458	gF	Ġ	Ġ	voiced velar fricative	vd velar fricative		4	72	0720	55	FALSE	FALSE	0120									vd	velar				fricative	
	647	459	gF*	Ġ·	Ġ·	creaky-voiced voiced velar fricative	creaky vd velar fricative					1	FALSE	FALSE	01200387							creaky		vd	velar				fricative	
	648	460	gFJ	Ġĵ	Ġĵ	palatalized voiced velar fricative	palzd vd velar fricative					1	FALSE	FALSE	01200135				palzd					vd	velar				fricative	
	649	461	gFW	Ġŵ	Ġŵ	labialized voiced velar fricative	labzd vd velar fricative					6	FALSE	FALSE	01200175			labzd						vd	velar				fricative	
	650	282	X!	X	X	voiceless uvular fricative	vl uvular fricative		4	73	0723	44	FALSE	FALSE	0058									vl	uvular				fricative	
	651	283	X!'	X'	X'	voiceless uvular ejective fricative	vl uvular ejective fricative					1	FALSE	FALSE	00580027									vl	uvular		ejective		fricative	
	652	284	X!:	X►	X►	long voiceless uvular fricative	long vl uvular fricative					4	FALSE	FALSE	005825BA					long				vl	uvular				fricative	
	653	285	X!W	Xŵ	Xŵ	labialized voiceless uvular fricative	labzd vl uvular fricative					14	FALSE	FALSE	00580175			labzd						vl	uvular				fricative	
	654	286	X!W'	Xŵ'	Xŵ'	labialized voiceless uvular ejective fricative	labzd vl uvular ejective fricative					1	FALSE	FALSE	005801750027			labzd						vl	uvular		ejective		fricative	
	655	287	X!W:	Xŵ►	Xŵ►	long labialized voiceless uvular fricative	long labzd vl uvular fricative					2	FALSE	FALSE	0058017525BA			labzd		long				vl	uvular				fricative	
	656	288	X9	Xſ	Xſ	pharyngealized voiceless uvular fricative	pharzd vl uvular fricative					2	FALSE	FALSE	0058017F				pharzd					vl	uvular				fricative	
	657	289	X9:	Xſ►	Xſ►	long pharyngealized voiceless uvular fricative	long pharzd vl uvular fricative					1	FALSE	FALSE	0058017F25BA				pharzd	long				vl	uvular				fricative	
	658	290	XW9	Xŵſ	Xŵſ	labialized pharyngealized voiceless uvular fricative	labzd pharzd vl uvular fricative					2	FALSE	FALSE	00580175017F			labzd	pharzd					vl	uvular				fricative	
	659	291	XW9:	Xŵſ►	Xŵſ►	long labialized pharyngealized voiceless uvular fricative	long labzd pharzd vl uvular fricative					1	FALSE	FALSE	00580175017F25BA			labzd	pharzd	long				vl	uvular				fricative	
