								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	4260	lateral approximant pharyngealized	0	0	0	0		
	4261	lateral approximant preaspirated	0	0	0	0		
	4262	lateral approximant preglottalized	0	0	0	0		
	4263	lateral approximant prenasalized	0	0	0	0		
	4264	lateral approximant prestopped	0	0	0	0		
	4265	lateral approximant sibilant	0	0	0	0		
	4266	lateral approximant velar-fricated	0	0	0	0		
	4267	lateral approximant velarized	0	0	0	0		
	4268	lateral approximant voiced	0	0	0	0		
	4269	lateral approximant voiceless	0	0	0	0		
	4270	lateral approximant with-breathy-release	0	0	0	0		
	4300	approximant	0	0	0	0		
	4301	approximant bilabial	0	0	0	0		
	4302	approximant labiodental	0	0	0	0		
	4303	approximant labial-palatal	0	0	0	0		
	4304	approximant labial-velar	0	0	0	0		
	4305	approximant dental	0	0	0	0		
	4306	approximant alveolar	0	0	0	0		
	4307	approximant postalveolar	0	0	0	0		
	4308	approximant retroflex	0	0	0	0		
	4309	approximant palatal	0	0	0	0		
	4310	approximant velar	0	0	0	0		
	4311	approximant velar-alveolar	0	0	0	0		
	4312	approximant uvular	0	0	0	0		
	4313	approximant pharyngeal	0	0	0	0		
	4314	approximant epiglottal	0	0	0	0		
	4315	approximant glottal	0	0	0	0		
	4316	approximant laryngeal	0	0	0	0		
	4350	approximant aspirated	0	0	0	0		
	4351	approximant breathy-voiced	0	0	0	0		
	4352	approximant creaky-voiced	0	0	0	0		
	4353	approximant ejective	0	0	0	0		
	4354	approximant glottalized	0	0	0	0		
	4355	approximant labialized	0	0	0	0		
	4356	approximant lateral-release	0	0	0	0		
	4357	approximant long	0	0	0	0		
	4358	approximant nasal-release	0	0	0	0		
	4359	approximant palatalized	0	0	0	0		
	4360	approximant pharyngealized	0	0	0	0		
	4361	approximant preaspirated	0	0	0	0		
	4362	approximant preglottalized	0	0	0	0		
	4363	approximant prenasalized	0	0	0	0		
	4364	approximant prestopped	0	0	0	0		
	4365	approximant sibilant	0	0	0	0		
	4366	approximant velar-fricated	0	0	0	0		
	4367	approximant velarized	0	0	0	0		
	4368	approximant voiced	0	0	0	0		
	4369	approximant voiceless	0	0	0	0		
	4370	approximant with-breathy-release	0	0	0	0		
	4400	click	0	0	0	0		
	4401	click bilabial	0	0	0	0		
	4402	click labiodental	0	0	0	0		
	4403	click labial-palatal	0	0	0	0		
	4404	click labial-velar	0	0	0	0		
	4405	click dental	0	0	0	0		
	4406	click alveolar	0	0	0	0		
	4407	click postalveolar	0	0	0	0		
	4408	click retroflex	0	0	0	0		
	4409	click palatal	0	0	0	0		
	4410	click velar	0	0	0	0		
	4411	click velar-alveolar	0	0	0	0		
	4412	click uvular	0	0	0	0		
	4413	click pharyngeal	0	0	0	0		
	4414	click epiglottal	0	0	0	0		
	4415	click glottal	0	0	0	0		
	4416	click laryngeal	0	0	0	0		
	4450	click aspirated	0	0	0	0		
	4451	click breathy-voiced	0	0	0	0		
	4452	click creaky-voiced	0	0	0	0		
	4453	click ejective	0	0	0	0		
	4454	click glottalized	0	0	0	0		
	4455	click labialized	0	0	0	0		
	4456	click lateral-release	0	0	0	0		
	4457	click long	0	0	0	0		
	4458	click nasal-release	0	0	0	0		
	4459	click palatalized	0	0	0	0		
	4460	click pharyngealized	0	0	0	0		
	4461	click preaspirated	0	0	0	0		
	4462	click preglottalized	0	0	0	0		
	4463	click prenasalized	0	0	0	0		
	4464	click prestopped	0	0	0	0		
	4465	click sibilant	0	0	0	0		
	4466	click velar-fricated	0	0	0	0		
	4467	click velarized	0	0	0	0		
	4468	click voiced	0	0	0	0		
	4469	click voiceless	0	0	0	0		
	4470	click with-breathy-release	0	0	0	0		
	4500	affricate lateral	0	0	0	0		
	4501	affricate lateral bilabial	0	0	0	0		
	4502	affricate lateral labiodental	0	0	0	0		
	4503	affricate lateral labial-palatal	0	0	0	0		
	4504	affricate lateral labial-velar	0	0	0	0		
	4505	affricate lateral dental	0	0	0	0		
	4506	affricate lateral alveolar	0	0	0	0		
	4507	affricate lateral postalveolar	0	0	0	0		
	4508	affricate lateral retroflex	0	0	0	0		
	4509	affricate lateral palatal	0	0	0	0		
	4510	affricate lateral velar	0	0	0	0		
	4511	affricate lateral velar-alveolar	0	0	0	0		
	4512	affricate lateral uvular	0	0	0	0		
	4513	affricate lateral pharyngeal	0	0	0	0		
	4514	affricate lateral epiglottal	0	0	0	0		
	4515	affricate lateral glottal	0	0	0	0		
	4516	affricate lateral laryngeal	0	0	0	0		
	4550	affricate lateral aspirated	0	0	0	0		
	4551	affricate lateral breathy-voiced	0	0	0	0		
